FeatureCode,DateCode,Measurement,Units,Value,Gender,Weight Category
S08000024,2015/2016,Ratio,Percent Of P1 Children,21.42,Male,Epidemiological - Overweight & Obese
S08000016,2014/2015,Ratio,Percent Of P1 Children,19.33,Male,Epidemiological - Overweight & Obese
S08000017,2017/2018,Ratio,Percent Of P1 Children,23.8,Male,Epidemiological - Overweight & Obese
S08000015,2017/2018,Ratio,Percent Of P1 Children,22.91,Male,Epidemiological - Overweight & Obese
S08000032,2013/2014,Ratio,Percent Of P1 Children,18.92,Male,Epidemiological - Overweight & Obese
S08000032,2014/2015,Ratio,Percent Of P1 Children,19.94,Male,Epidemiological - Overweight & Obese
S08000032,2015/2016,Ratio,Percent Of P1 Children,22.18,Male,Epidemiological - Overweight & Obese
S08000032,2005/2006,Ratio,Percent Of P1 Children,22.25,Male,Epidemiological - Overweight & Obese
S08000016,2001/2002,Ratio,Percent Of P1 Children,25.55,Male,Epidemiological - Overweight & Obese
S08000029,2009/2010,Ratio,Percent Of P1 Children,24.26,Male,Epidemiological - Overweight & Obese
S08000016,2003/2004,Ratio,Percent Of P1 Children,23.11,Male,Epidemiological - Overweight & Obese
S08000016,2015/2016,Ratio,Percent Of P1 Children,19.4,Male,Epidemiological - Overweight & Obese
S08000032,2008/2009,Ratio,Percent Of P1 Children,18.36,Male,Epidemiological - Overweight & Obese
S08000020,2015/2016,Ratio,Percent Of P1 Children,24.1,Male,Epidemiological - Overweight & Obese
S08000032,2012/2013,Ratio,Percent Of P1 Children,20.83,Male,Epidemiological - Overweight & Obese
S08000030,2006/2007,Ratio,Percent Of P1 Children,23.19,Male,Epidemiological - Overweight & Obese
S08000031,2008/2009,Ratio,Percent Of P1 Children,16.53,Male,Epidemiological - Overweight & Obese
S08000032,2009/2010,Ratio,Percent Of P1 Children,18.75,Male,Epidemiological - Overweight & Obese
S08000031,2007/2008,Ratio,Percent Of P1 Children,17.15,Male,Epidemiological - Overweight & Obese
S08000031,2015/2016,Ratio,Percent Of P1 Children,20.42,Male,Epidemiological - Overweight & Obese
S92000003,2014/2015,Ratio,Percent Of P1 Children,22.13,Male,Epidemiological - Overweight & Obese
S08000031,2014/2015,Ratio,Percent Of P1 Children,20.37,Male,Epidemiological - Overweight & Obese
S08000032,2007/2008,Ratio,Percent Of P1 Children,20,Male,Epidemiological - Overweight & Obese
S08000032,2010/2011,Ratio,Percent Of P1 Children,18.27,Male,Epidemiological - Overweight & Obese
S08000022,2015/2016,Ratio,Percent Of P1 Children,22.75,Male,Epidemiological - Overweight & Obese
S08000032,2011/2012,Ratio,Percent Of P1 Children,19.3,Male,Epidemiological - Overweight & Obese
S92000003,2009/2010,Ratio,Percent Of P1 Children,22.19,Male,Epidemiological - Overweight & Obese
S08000031,2009/2010,Ratio,Percent Of P1 Children,20.34,Male,Epidemiological - Overweight & Obese
S92000003,2008/2009,Ratio,Percent Of P1 Children,21.57,Male,Epidemiological - Overweight & Obese
S08000031,2013/2014,Ratio,Percent Of P1 Children,21.15,Male,Epidemiological - Overweight & Obese
S08000031,2010/2011,Ratio,Percent Of P1 Children,16.98,Male,Epidemiological - Overweight & Obese
S08000029,2003/2004,Ratio,Percent Of P1 Children,24.39,Male,Epidemiological - Overweight & Obese
S08000015,2015/2016,Ratio,Percent Of P1 Children,24.43,Male,Epidemiological - Overweight & Obese
S08000016,2018/2019,Ratio,Percent Of P1 Children,22.06,Male,Epidemiological - Overweight & Obese
S08000031,2006/2007,Ratio,Percent Of P1 Children,20.27,Male,Epidemiological - Overweight & Obese
S08000030,2005/2006,Ratio,Percent Of P1 Children,24.31,Male,Epidemiological - Overweight & Obese
S08000029,2006/2007,Ratio,Percent Of P1 Children,26.32,Male,Epidemiological - Overweight & Obese
S08000031,2016/2017,Ratio,Percent Of P1 Children,21.73,Male,Epidemiological - Overweight & Obese
S08000031,2011/2012,Ratio,Percent Of P1 Children,22.02,Male,Epidemiological - Overweight & Obese
S92000003,2010/2011,Ratio,Percent Of P1 Children,22.5,Male,Epidemiological - Overweight & Obese
S08000031,2012/2013,Ratio,Percent Of P1 Children,20.88,Male,Epidemiological - Overweight & Obese
S08000020,2012/2013,Ratio,Percent Of P1 Children,21.85,Male,Epidemiological - Overweight & Obese
S08000016,2013/2014,Ratio,Percent Of P1 Children,20.44,Male,Epidemiological - Overweight & Obese
S08000019,2011/2012,Ratio,Percent Of P1 Children,21.44,Male,Epidemiological - Overweight & Obese
S08000017,2011/2012,Ratio,Percent Of P1 Children,24.67,Male,Epidemiological - Overweight & Obese
S08000028,2013/2014,Ratio,Percent Of P1 Children,25.35,Male,Epidemiological - Overweight & Obese
S08000028,2011/2012,Ratio,Percent Of P1 Children,18.12,Male,Epidemiological - Overweight & Obese
S08000016,2008/2009,Ratio,Percent Of P1 Children,21.21,Male,Epidemiological - Overweight & Obese
S08000028,2012/2013,Ratio,Percent Of P1 Children,28.06,Male,Epidemiological - Overweight & Obese
S08000020,2011/2012,Ratio,Percent Of P1 Children,23.4,Male,Epidemiological - Overweight & Obese
S08000024,2012/2013,Ratio,Percent Of P1 Children,21.42,Male,Epidemiological - Overweight & Obese
S08000024,2011/2012,Ratio,Percent Of P1 Children,22.61,Male,Epidemiological - Overweight & Obese
S08000017,2012/2013,Ratio,Percent Of P1 Children,22.64,Male,Epidemiological - Overweight & Obese
S08000020,2010/2011,Ratio,Percent Of P1 Children,20.79,Male,Epidemiological - Overweight & Obese
S08000016,2012/2013,Ratio,Percent Of P1 Children,21.89,Male,Epidemiological - Overweight & Obese
S08000016,2011/2012,Ratio,Percent Of P1 Children,25,Male,Epidemiological - Overweight & Obese
S08000032,2003/2004,Ratio,Percent Of P1 Children,22.9,Male,Epidemiological - Overweight & Obese
S08000024,2014/2015,Ratio,Percent Of P1 Children,21.59,Male,Epidemiological - Overweight & Obese
S08000022,2012/2013,Ratio,Percent Of P1 Children,24.29,Male,Epidemiological - Overweight & Obese
S08000024,2007/2008,Ratio,Percent Of P1 Children,24.63,Male,Epidemiological - Overweight & Obese
S08000022,2010/2011,Ratio,Percent Of P1 Children,26.68,Male,Epidemiological - Overweight & Obese
S08000028,2009/2010,Ratio,Percent Of P1 Children,25.74,Male,Epidemiological - Overweight & Obese
S08000028,2017/2018,Ratio,Percent Of P1 Children,24.22,Male,Epidemiological - Overweight & Obese
S08000015,2010/2011,Ratio,Percent Of P1 Children,27.54,Male,Epidemiological - Overweight & Obese
S08000026,2013/2014,Ratio,Percent Of P1 Children,19.08,Male,Epidemiological - Overweight & Obese
S08000019,2010/2011,Ratio,Percent Of P1 Children,20.99,Male,Epidemiological - Overweight & Obese
S08000016,2009/2010,Ratio,Percent Of P1 Children,22.85,Male,Epidemiological - Overweight & Obese
S08000019,2012/2013,Ratio,Percent Of P1 Children,20.49,Male,Epidemiological - Overweight & Obese
S08000017,2007/2008,Ratio,Percent Of P1 Children,25.76,Male,Epidemiological - Overweight & Obese
S08000015,2009/2010,Ratio,Percent Of P1 Children,23.91,Male,Epidemiological - Overweight & Obese
S08000028,2014/2015,Ratio,Percent Of P1 Children,23.21,Male,Epidemiological - Overweight & Obese
S08000020,2009/2010,Ratio,Percent Of P1 Children,21.11,Male,Epidemiological - Overweight & Obese
S08000024,2010/2011,Ratio,Percent Of P1 Children,22,Male,Epidemiological - Overweight & Obese
S08000016,2007/2008,Ratio,Percent Of P1 Children,19.17,Male,Epidemiological - Overweight & Obese
S08000019,2013/2014,Ratio,Percent Of P1 Children,22.46,Male,Epidemiological - Overweight & Obese
S08000017,2015/2016,Ratio,Percent Of P1 Children,27.71,Male,Epidemiological - Overweight & Obese
S92000003,2001/2002,Ratio,Percent Of P1 Children,23.38,Male,Epidemiological - Overweight & Obese
S08000019,2015/2016,Ratio,Percent Of P1 Children,22.72,Male,Epidemiological - Overweight & Obese
S08000022,2014/2015,Ratio,Percent Of P1 Children,24.03,Male,Epidemiological - Overweight & Obese
S08000024,2013/2014,Ratio,Percent Of P1 Children,22.41,Male,Epidemiological - Overweight & Obese
S08000019,2014/2015,Ratio,Percent Of P1 Children,20.9,Male,Epidemiological - Overweight & Obese
S08000029,2018/2019,Ratio,Percent Of P1 Children,22.4,Male,Epidemiological - Overweight & Obese
S08000020,2013/2014,Ratio,Percent Of P1 Children,26.07,Male,Epidemiological - Overweight & Obese
S08000022,2018/2019,Ratio,Percent Of P1 Children,29.48,Male,Epidemiological - Overweight & Obese
S08000019,2009/2010,Ratio,Percent Of P1 Children,22.1,Male,Epidemiological - Overweight & Obese
S08000031,2018/2019,Ratio,Percent Of P1 Children,22.96,Male,Epidemiological - Overweight & Obese
S08000025,2015/2016,Ratio,Percent Of P1 Children,27.17,Male,Epidemiological - Overweight & Obese
S08000017,2010/2011,Ratio,Percent Of P1 Children,25.59,Male,Epidemiological - Overweight & Obese
S08000032,2002/2003,Ratio,Percent Of P1 Children,21.77,Male,Epidemiological - Overweight & Obese
S08000026,2017/2018,Ratio,Percent Of P1 Children,27.52,Male,Epidemiological - Overweight & Obese
S08000020,2014/2015,Ratio,Percent Of P1 Children,23.01,Male,Epidemiological - Overweight & Obese
S08000017,2008/2009,Ratio,Percent Of P1 Children,22.41,Male,Epidemiological - Overweight & Obese
S08000032,2017/2018,Ratio,Percent Of P1 Children,22.63,Male,Epidemiological - Overweight & Obese
S08000015,2013/2014,Ratio,Percent Of P1 Children,29.47,Male,Epidemiological - Overweight & Obese
S08000016,2010/2011,Ratio,Percent Of P1 Children,21.76,Male,Epidemiological - Overweight & Obese
S08000022,2008/2009,Ratio,Percent Of P1 Children,27.07,Male,Epidemiological - Overweight & Obese
S08000028,2007/2008,Ratio,Percent Of P1 Children,21.9,Male,Epidemiological - Overweight & Obese
S08000028,2015/2016,Ratio,Percent Of P1 Children,18.79,Male,Epidemiological - Overweight & Obese
S08000015,2012/2013,Ratio,Percent Of P1 Children,24.43,Male,Epidemiological - Overweight & Obese
S08000024,2009/2010,Ratio,Percent Of P1 Children,23.38,Male,Epidemiological - Overweight & Obese
S08000015,2014/2015,Ratio,Percent Of P1 Children,24.15,Male,Epidemiological - Overweight & Obese
S08000017,2009/2010,Ratio,Percent Of P1 Children,27.63,Male,Epidemiological - Overweight & Obese
S08000017,2017/2018,Ratio,Percent Of P1 Children,24.93,Female,Epidemiological - Overweight & Obese
S92000003,2004/2005,Ratio,Percent Of P1 Children,22.18,Female,Epidemiological - Overweight & Obese
S08000029,2011/2012,Ratio,Percent Of P1 Children,22.41,Male,Epidemiological - Overweight & Obese
S08000016,2017/2018,Ratio,Percent Of P1 Children,21.68,Female,Epidemiological - Overweight & Obese
S08000028,2003/2004,Ratio,Percent Of P1 Children,24.68,Male,Epidemiological - Overweight & Obese
S08000017,2004/2005,Ratio,Percent Of P1 Children,26.47,Female,Epidemiological - Overweight & Obese
S08000030,2002/2003,Ratio,Percent Of P1 Children,22.17,Male,Epidemiological - Overweight & Obese
S08000029,2001/2002,Ratio,Percent Of P1 Children,21.86,Female,Epidemiological - Overweight & Obese
S08000016,2014/2015,Ratio,Percent Of P1 Children,22.16,Female,Epidemiological - Overweight & Obese
S92000003,2017/2018,Ratio,Percent Of P1 Children,21.86,Female,Epidemiological - Overweight & Obese
S08000029,2002/2003,Ratio,Percent Of P1 Children,23.57,Female,Epidemiological - Overweight & Obese
S08000022,2016/2017,Ratio,Percent Of P1 Children,23.95,Male,Epidemiological - Overweight & Obese
S08000022,2008/2009,Ratio,Percent Of P1 Children,23.31,Female,Epidemiological - Overweight & Obese
S08000029,2010/2011,Ratio,Percent Of P1 Children,23.57,Male,Epidemiological - Overweight & Obese
S08000029,2003/2004,Ratio,Percent Of P1 Children,24.25,Female,Epidemiological - Overweight & Obese
S08000030,2012/2013,Ratio,Percent Of P1 Children,23.63,Male,Epidemiological - Overweight & Obese
S92000003,2003/2004,Ratio,Percent Of P1 Children,22.67,Female,Epidemiological - Overweight & Obese
S08000030,2011/2012,Ratio,Percent Of P1 Children,22.22,Male,Epidemiological - Overweight & Obese
S08000032,2002/2003,Ratio,Percent Of P1 Children,20.77,Female,Epidemiological - Overweight & Obese
S08000032,2017/2018,Ratio,Percent Of P1 Children,20.94,Female,Epidemiological - Overweight & Obese
S08000030,2008/2009,Ratio,Percent Of P1 Children,22.99,Male,Epidemiological - Overweight & Obese
S08000029,2004/2005,Ratio,Percent Of P1 Children,22.95,Female,Epidemiological - Overweight & Obese
S08000030,2004/2005,Ratio,Percent Of P1 Children,21.88,Male,Epidemiological - Overweight & Obese
S08000029,2017/2018,Ratio,Percent Of P1 Children,21.81,Female,Epidemiological - Overweight & Obese
S08000031,2017/2018,Ratio,Percent Of P1 Children,20.81,Female,Epidemiological - Overweight & Obese
S08000030,2015/2016,Ratio,Percent Of P1 Children,22.53,Male,Epidemiological - Overweight & Obese
S08000020,2017/2018,Ratio,Percent Of P1 Children,23.41,Female,Epidemiological - Overweight & Obese
S92000003,2001/2002,Ratio,Percent Of P1 Children,21.5,Female,Epidemiological - Overweight & Obese
S92000003,2002/2003,Ratio,Percent Of P1 Children,23.11,Male,Epidemiological - Overweight & Obese
S08000030,2009/2010,Ratio,Percent Of P1 Children,21.88,Male,Epidemiological - Overweight & Obese
S08000016,2008/2009,Ratio,Percent Of P1 Children,21.32,Female,Epidemiological - Overweight & Obese
S08000026,2017/2018,Ratio,Percent Of P1 Children,22.58,Female,Epidemiological - Overweight & Obese
S08000022,2017/2018,Ratio,Percent Of P1 Children,24.5,Female,Epidemiological - Overweight & Obese
S08000030,2013/2014,Ratio,Percent Of P1 Children,22.86,Male,Epidemiological - Overweight & Obese
S08000015,2016/2017,Ratio,Percent Of P1 Children,25.73,Male,Epidemiological - Overweight & Obese
S08000031,2018/2019,Ratio,Percent Of P1 Children,21.5,Female,Epidemiological - Overweight & Obese
S08000016,2018/2019,Ratio,Percent Of P1 Children,23.4,Female,Epidemiological - Overweight & Obese
S08000029,2016/2017,Ratio,Percent Of P1 Children,22.6,Male,Epidemiological - Overweight & Obese
S08000015,2007/2008,Ratio,Percent Of P1 Children,21.85,Female,Epidemiological - Overweight & Obese
S08000030,2018/2019,Ratio,Percent Of P1 Children,21.96,Female,Epidemiological - Overweight & Obese
S08000024,2018/2019,Ratio,Percent Of P1 Children,19.93,Female,Epidemiological - Overweight & Obese
S92000003,2018/2019,Ratio,Percent Of P1 Children,21.57,Female,Epidemiological - Overweight & Obese
S08000015,2009/2010,Ratio,Percent Of P1 Children,21.9,Female,Epidemiological - Overweight & Obese
S08000015,2011/2012,Ratio,Percent Of P1 Children,23.4,Female,Epidemiological - Overweight & Obese
S08000026,2018/2019,Ratio,Percent Of P1 Children,15.74,Female,Epidemiological - Overweight & Obese
S08000029,2013/2014,Ratio,Percent Of P1 Children,24.04,Male,Epidemiological - Overweight & Obese
S08000017,2018/2019,Ratio,Percent Of P1 Children,24.42,Female,Epidemiological - Overweight & Obese
S08000029,2012/2013,Ratio,Percent Of P1 Children,21.83,Male,Epidemiological - Overweight & Obese
S08000024,2004/2005,Ratio,Percent Of P1 Children,24.76,Male,Epidemiological - Overweight & Obese
S08000016,2016/2017,Ratio,Percent Of P1 Children,24.13,Male,Epidemiological - Overweight & Obese
S08000015,2008/2009,Ratio,Percent Of P1 Children,18.06,Female,Epidemiological - Overweight & Obese
S08000019,2017/2018,Ratio,Percent Of P1 Children,22.49,Male,Epidemiological - Overweight & Obese
S08000019,2018/2019,Ratio,Percent Of P1 Children,22.38,Female,Epidemiological - Overweight & Obese
S08000022,2018/2019,Ratio,Percent Of P1 Children,24.29,Female,Epidemiological - Overweight & Obese
S08000024,2002/2003,Ratio,Percent Of P1 Children,26.71,Male,Epidemiological - Overweight & Obese
S92000003,2002/2003,Ratio,Percent Of P1 Children,22.27,Female,Epidemiological - Overweight & Obese
S08000024,2003/2004,Ratio,Percent Of P1 Children,22.49,Male,Epidemiological - Overweight & Obese
S08000015,2010/2011,Ratio,Percent Of P1 Children,25,Female,Epidemiological - Overweight & Obese
S08000016,2007/2008,Ratio,Percent Of P1 Children,19.69,Female,Epidemiological - Overweight & Obese
S08000028,2018/2019,Ratio,Percent Of P1 Children,21.43,Female,Epidemiological - Overweight & Obese
S08000020,2018/2019,Ratio,Percent Of P1 Children,21.23,Female,Epidemiological - Overweight & Obese
S08000029,2018/2019,Ratio,Percent Of P1 Children,19.73,Female,Epidemiological - Overweight & Obese
S08000020,2016/2017,Ratio,Percent Of P1 Children,23.14,Male,Epidemiological - Overweight & Obese
S08000032,2018/2019,Ratio,Percent Of P1 Children,22.45,Female,Epidemiological - Overweight & Obese
S08000029,2014/2015,Ratio,Percent Of P1 Children,23.87,Male,Epidemiological - Overweight & Obese
S92000003,2003/2004,Ratio,Percent Of P1 Children,23.3,Male,Epidemiological - Overweight & Obese
S08000025,2018/2019,Ratio,Percent Of P1 Children,25,Female,Epidemiological - Overweight & Obese
S08000029,2015/2016,Ratio,Percent Of P1 Children,23.39,Male,Epidemiological - Overweight & Obese
S08000030,2014/2015,Ratio,Percent Of P1 Children,24.49,Male,Epidemiological - Overweight & Obese
S08000032,2006/2007,Ratio,Percent Of P1 Children,19.22,Female,Epidemiological - Overweight & Obese
S08000015,2013/2014,Ratio,Percent Of P1 Children,26.17,Female,Epidemiological - Overweight & Obese
S08000032,2005/2006,Ratio,Percent Of P1 Children,20.84,Female,Epidemiological - Overweight & Obese
S08000032,2003/2004,Ratio,Percent Of P1 Children,22.93,Female,Epidemiological - Overweight & Obese
S08000032,2001/2002,Ratio,Percent Of P1 Children,20.59,Female,Epidemiological - Overweight & Obese
S08000024,2017/2018,Ratio,Percent Of P1 Children,23.56,Male,Epidemiological - Overweight & Obese
S08000015,2018/2019,Ratio,Percent Of P1 Children,22.28,Female,Epidemiological - Overweight & Obese
S08000032,2004/2005,Ratio,Percent Of P1 Children,21.21,Female,Epidemiological - Overweight & Obese
S08000015,2014/2015,Ratio,Percent Of P1 Children,22.2,Female,Epidemiological - Overweight & Obese
S08000030,2010/2011,Ratio,Percent Of P1 Children,25.62,Male,Epidemiological - Overweight & Obese
S08000015,2017/2018,Ratio,Percent Of P1 Children,21.31,Female,Epidemiological - Overweight & Obese
S08000020,2018/2019,Ratio,Percent Of P1 Children,8.7,All,Epidemiological - Obese
S08000016,2010/2011,Ratio,Percent Of P1 Children,8.63,Male,Epidemiological - Obese
S08000017,2008/2009,Ratio,Percent Of P1 Children,10.2,Male,Epidemiological - Obese
S08000016,2017/2018,Ratio,Percent Of P1 Children,9.31,All,Epidemiological - Obese
S08000017,2009/2010,Ratio,Percent Of P1 Children,13.95,Male,Epidemiological - Obese
S08000020,2016/2017,Ratio,Percent Of P1 Children,10.43,Male,Epidemiological - Obese
S08000028,2007/2008,Ratio,Percent Of P1 Children,12.29,All,Epidemiological - Obese
S08000032,2012/2013,Ratio,Percent Of P1 Children,9.13,Male,Epidemiological - Obese
S08000015,2014/2015,Ratio,Percent Of P1 Children,12.23,Male,Epidemiological - Obese
S08000029,2018/2019,Ratio,Percent Of P1 Children,9.89,All,Epidemiological - Obese
S08000020,2018/2019,Ratio,Percent Of P1 Children,8.14,Female,Epidemiological - Obese
S08000017,2010/2011,Ratio,Percent Of P1 Children,9.89,All,Epidemiological - Obese
S08000015,2013/2014,Ratio,Percent Of P1 Children,13.92,Male,Epidemiological - Obese
S08000031,2008/2009,Ratio,Percent Of P1 Children,7.12,All,Epidemiological - Obese
S08000020,2014/2015,Ratio,Percent Of P1 Children,10.22,Male,Epidemiological - Obese
S08000020,2011/2012,Ratio,Percent Of P1 Children,10.01,Male,Epidemiological - Obese
S08000029,2018/2019,Ratio,Percent Of P1 Children,8.69,Female,Epidemiological - Obese
S08000025,2017/2018,Ratio,Percent Of P1 Children,8.97,Female,Epidemiological - Obese
S08000025,2018/2019,Ratio,Percent Of P1 Children,16,All,Epidemiological - Obese
S08000017,2007/2008,Ratio,Percent Of P1 Children,9.82,All,Epidemiological - Obese
S08000016,2011/2012,Ratio,Percent Of P1 Children,9.63,Male,Epidemiological - Obese
S08000022,2012/2013,Ratio,Percent Of P1 Children,10.44,All,Epidemiological - Obese
S08000017,2012/2013,Ratio,Percent Of P1 Children,9.14,Male,Epidemiological - Obese
S08000024,2012/2013,Ratio,Percent Of P1 Children,9.7,Male,Epidemiological - Obese
S08000022,2018/2019,Ratio,Percent Of P1 Children,12.35,All,Epidemiological - Obese
S08000024,2011/2012,Ratio,Percent Of P1 Children,9.83,Male,Epidemiological - Obese
S08000032,2007/2008,Ratio,Percent Of P1 Children,9.64,Male,Epidemiological - Obese
S08000024,2002/2003,Ratio,Percent Of P1 Children,12.2,Female,Epidemiological - Obese
S08000015,2009/2010,Ratio,Percent Of P1 Children,10.02,All,Epidemiological - Obese
S08000017,2016/2017,Ratio,Percent Of P1 Children,13.22,All,Epidemiological - Obese
S08000019,2008/2009,Ratio,Percent Of P1 Children,8.99,All,Epidemiological - Obese
S08000024,2017/2018,Ratio,Percent Of P1 Children,11.39,Male,Epidemiological - Obese
S08000025,2014/2015,Ratio,Percent Of P1 Children,7.98,All,Epidemiological - Obese
S08000017,2006/2007,Ratio,Percent Of P1 Children,11.2,All,Epidemiological - Obese
S08000016,2004/2005,Ratio,Percent Of P1 Children,10.93,All,Epidemiological - Obese
S08000019,2017/2018,Ratio,Percent Of P1 Children,9.88,Female,Epidemiological - Obese
S08000015,2017/2018,Ratio,Percent Of P1 Children,9.56,Female,Epidemiological - Obese
S08000016,2003/2004,Ratio,Percent Of P1 Children,8.96,Female,Epidemiological - Obese
S08000016,2007/2008,Ratio,Percent Of P1 Children,7.59,Male,Epidemiological - Obese
S08000015,2007/2008,Ratio,Percent Of P1 Children,9.97,All,Epidemiological - Obese
S08000028,2003/2004,Ratio,Percent Of P1 Children,9.8,Female,Epidemiological - Obese
S08000024,2013/2014,Ratio,Percent Of P1 Children,10.14,Male,Epidemiological - Obese
S08000028,2008/2009,Ratio,Percent Of P1 Children,10.74,All,Epidemiological - Obese
S08000022,2018/2019,Ratio,Percent Of P1 Children,11.43,Female,Epidemiological - Obese
S08000015,2010/2011,Ratio,Percent Of P1 Children,11.76,All,Epidemiological - Obese
S08000022,2016/2017,Ratio,Percent Of P1 Children,11.31,Male,Epidemiological - Obese
S08000017,2015/2016,Ratio,Percent Of P1 Children,11.54,Male,Epidemiological - Obese
S08000024,2015/2016,Ratio,Percent Of P1 Children,9.25,All,Epidemiological - Obese
S08000030,2014/2015,Ratio,Percent Of P1 Children,10.97,All,Epidemiological - Obese
S08000020,2012/2013,Ratio,Percent Of P1 Children,9.16,All,Epidemiological - Obese
S08000015,2013/2014,Ratio,Percent Of P1 Children,13.6,All,Epidemiological - Obese
S08000017,2018/2019,Ratio,Percent Of P1 Children,12.11,All,Epidemiological - Obese
S08000019,2015/2016,Ratio,Percent Of P1 Children,8.57,Male,Epidemiological - Obese
S08000015,2010/2011,Ratio,Percent Of P1 Children,10.69,Female,Epidemiological - Obese
S08000024,2008/2009,Ratio,Percent Of P1 Children,10.08,All,Epidemiological - Obese
S08000016,2018/2019,Ratio,Percent Of P1 Children,9.13,All,Epidemiological - Obese
S08000028,2007/2008,Ratio,Percent Of P1 Children,10.48,Male,Epidemiological - Obese
S08000022,2015/2016,Ratio,Percent Of P1 Children,10.62,Male,Epidemiological - Obese
S08000032,2011/2012,Ratio,Percent Of P1 Children,9.28,All,Epidemiological - Obese
S08000024,2001/2002,Ratio,Percent Of P1 Children,10.83,Female,Epidemiological - Obese
S08000016,2003/2004,Ratio,Percent Of P1 Children,8.15,All,Epidemiological - Obese
S08000024,2009/2010,Ratio,Percent Of P1 Children,10.1,Male,Epidemiological - Obese
S08000025,2018/2019,Ratio,Percent Of P1 Children,12.5,Female,Epidemiological - Obese
S08000017,2011/2012,Ratio,Percent Of P1 Children,10.84,All,Epidemiological - Obese
S08000026,2017/2018,Ratio,Percent Of P1 Children,12.75,Male,Epidemiological - Obese
S08000030,2016/2017,Ratio,Percent Of P1 Children,11.32,All,Epidemiological - Obese
S08000017,2012/2013,Ratio,Percent Of P1 Children,9.38,All,Epidemiological - Obese
S08000031,2018/2019,Ratio,Percent Of P1 Children,10.41,All,Epidemiological - Obese
S08000015,2012/2013,Ratio,Percent Of P1 Children,10.88,Male,Epidemiological - Obese
S08000026,2008/2009,Ratio,Percent Of P1 Children,9.36,All,Epidemiological - Obese
S08000029,2016/2017,Ratio,Percent Of P1 Children,10.84,Male,Epidemiological - Obese
S08000024,2016/2017,Ratio,Percent Of P1 Children,10.7,All,Epidemiological - Obese
S08000022,2008/2009,Ratio,Percent Of P1 Children,11.88,Male,Epidemiological - Obese
S08000017,2009/2010,Ratio,Percent Of P1 Children,11.45,All,Epidemiological - Obese
S08000016,2001/2002,Ratio,Percent Of P1 Children,8.44,All,Epidemiological - Obese
S08000030,2002/2003,Ratio,Percent Of P1 Children,9.49,Female,Epidemiological - Obese
S08000032,2006/2007,Ratio,Percent Of P1 Children,9.26,All,Epidemiological - Obese
S08000016,2009/2010,Ratio,Percent Of P1 Children,9.62,Male,Epidemiological - Obese
S08000030,2012/2013,Ratio,Percent Of P1 Children,9.65,All,Epidemiological - Obese
S08000024,2017/2018,Ratio,Percent Of P1 Children,10.29,All,Epidemiological - Obese
S08000032,2003/2004,Ratio,Percent Of P1 Children,10.67,Male,Epidemiological - Obese
S92000003,2009/2010,Ratio,Percent Of P1 Children,9.59,All,Epidemiological - Obese
S08000028,2014/2015,Ratio,Percent Of P1 Children,11.61,Male,Epidemiological - Obese
S08000032,2016/2017,Ratio,Percent Of P1 Children,9.77,Female,Epidemiological - Obese
S08000028,2013/2014,Ratio,Percent Of P1 Children,8.45,Male,Epidemiological - Obese
S08000025,2013/2014,Ratio,Percent Of P1 Children,15.74,All,Epidemiological - Obese
S08000019,2010/2011,Ratio,Percent Of P1 Children,9.38,Male,Epidemiological - Obese
S08000026,2014/2015,Ratio,Percent Of P1 Children,14.29,All,Epidemiological - Obese
S08000030,2014/2015,Ratio,Percent Of P1 Children,11.48,Male,Epidemiological - Obese
S08000028,2004/2005,Ratio,Percent Of P1 Children,22.73,All,Epidemiological - Obese
S92000003,2014/2015,Ratio,Percent Of P1 Children,10.08,Male,Epidemiological - Obese
S08000024,2002/2003,Ratio,Percent Of P1 Children,12.17,All,Epidemiological - Obese
S08000016,2016/2017,Ratio,Percent Of P1 Children,10.84,Male,Epidemiological - Obese
S08000017,2007/2008,Ratio,Percent Of P1 Children,10.04,Male,Epidemiological - Obese
S08000022,2016/2017,Ratio,Percent Of P1 Children,10.81,All,Epidemiological - Obese
S08000024,2014/2015,Ratio,Percent Of P1 Children,9.95,Male,Epidemiological - Obese
S08000019,2017/2018,Ratio,Percent Of P1 Children,9.97,All,Epidemiological - Obese
S08000016,2012/2013,Ratio,Percent Of P1 Children,8.35,Female,Epidemiological - Obese
S08000015,2011/2012,Ratio,Percent Of P1 Children,10.06,Female,Epidemiological - Obese
S08000028,2015/2016,Ratio,Percent Of P1 Children,8.78,All,Epidemiological - Obese
S92000003,2008/2009,Ratio,Percent Of P1 Children,9.31,All,Epidemiological - Obese
S08000022,2012/2013,Ratio,Percent Of P1 Children,9.96,Male,Epidemiological - Obese
S08000019,2016/2017,Ratio,Percent Of P1 Children,9.07,All,Epidemiological - Obese
S08000029,2013/2014,Ratio,Percent Of P1 Children,10.48,Male,Epidemiological - Obese
S08000026,2012/2013,Ratio,Percent Of P1 Children,14.96,Male,Epidemiological - Obese
S08000031,2014/2015,Ratio,Percent Of P1 Children,8.69,Male,Epidemiological - Obese
S08000015,2009/2010,Ratio,Percent Of P1 Children,10.47,Male,Epidemiological - Obese
S92000003,2013/2014,Ratio,Percent Of P1 Children,10.59,Male,Epidemiological - Obese
S08000020,2009/2010,Ratio,Percent Of P1 Children,9.91,Male,Epidemiological - Obese
